primitive_instance,display_name,count,time,eval_direct
"/phylanx/__add$0/9$61$28","add(61, 28)",1,23594177,-1
"/phylanx/__add$1/9$62$28","add(62, 28)",1,1000240,-1
"/phylanx/__add$10/9$90$26","add(90, 26)",1,36633,-1
"/phylanx/__add$2/9$68$34","add(68, 34)",700,187195802675,0
"/phylanx/__add$3/9$70$52","add(70, 52)",700,306082087782,0
"/phylanx/__add$4/9$72$48","add(72, 48)",700,18863931,1
"/phylanx/__add$5/9$73$34","add(73, 34)",700,18852756,1
"/phylanx/__add$6/9$81$34","add(81, 34)",20000,24717189667,0
"/phylanx/__add$7/9$83$52","add(83, 52)",20000,62372494337,0
"/phylanx/__add$8/9$85$48","add(85, 48)",20000,257294070,1
"/phylanx/__add$9/9$86$34","add(86, 34)",20000,262055838,1
"/phylanx/__lt$0/9$56$16","lt(56, 16)",2,103830,1
"/phylanx/__lt$1/9$64$24","lt(64, 24)",701,29649470,1
"/phylanx/__lt$2/9$77$24","lt(77, 24)",20001,338383629,1
"/phylanx/__lt$3/10$95$4","lt(95, 4)",1,664660,-1
"/phylanx/__mul$0/9$32$22","mul(32, 22)",1,44323273,-1
"/phylanx/__mul$1/9$61$51","mul(61, 51)",1,66327,-1
"/phylanx/__mul$2/9$62$51","mul(62, 51)",1,66775,-1
"/phylanx/__ne$0/9$67$36","ne(67, 36)",700,193860061,1
"/phylanx/__ne$1/9$80$36","ne(80, 36)",20000,450457346,1
"/phylanx/access-argument$0$filepath/8$22$25","access-argument/filepath(22, 25)",1,1126,1
"/phylanx/access-argument$1$row_start/8$22$41","access-argument/row_start(22, 41)",1,1218,1
"/phylanx/access-argument$10$num_factors/9$44$42","access-argument/num_factors(44, 42)",1,1903,1
"/phylanx/access-argument$11$num_factors/9$45$30","access-argument/num_factors(45, 30)",1,1705,1
"/phylanx/access-argument$12$num_factors/9$52$40","access-argument/num_factors(52, 40)",1,1741,1
"/phylanx/access-argument$13$num_factors/9$52$53","access-argument/num_factors(52, 53)",1,245,1
"/phylanx/access-argument$14$num_factors/9$53$40","access-argument/num_factors(53, 40)",1,865,1
"/phylanx/access-argument$15$num_factors/9$53$53","access-argument/num_factors(53, 53)",1,172,1
"/phylanx/access-argument$16$num_factors/9$54$38","access-argument/num_factors(54, 38)",1,2156,1
"/phylanx/access-argument$17$num_factors/9$54$51","access-argument/num_factors(54, 51)",1,394,1
"/phylanx/access-argument$18$num_factors/9$55$38","access-argument/num_factors(55, 38)",1,1844,1
"/phylanx/access-argument$19$iterations/9$56$20","access-argument/iterations(56, 20)",2,3111,1
"/phylanx/access-argument$2$row_stop/8$22$52","access-argument/row_stop(22, 52)",1,1098,1
"/phylanx/access-argument$20$enable_output/9$57$23","access-argument/enable_output(57, 23)",1,1056,1
"/phylanx/access-argument$21$regularization/9$61$51","access-argument/regularization(61, 51)",1,990,1
"/phylanx/access-argument$22$regularization/9$62$51","access-argument/regularization(62, 51)",1,997,1
"/phylanx/access-argument$3$col_start/8$23$14","access-argument/col_start(23, 14)",1,1033,1
"/phylanx/access-argument$4$col_stop/8$23$25","access-argument/col_stop(23, 25)",1,288,1
"/phylanx/access-argument$5$filepath/9$29$32","access-argument/filepath(29, 32)",1,6072,1
"/phylanx/access-argument$6$row_stop/9$29$45","access-argument/row_stop(29, 45)",1,833,1
"/phylanx/access-argument$7$col_stop/9$29$58","access-argument/col_stop(29, 58)",1,570,1
"/phylanx/access-argument$8$alpha/9$32$22","access-argument/alpha(32, 22)",1,1907,1
"/phylanx/access-argument$9$num_factors/9$43$42","access-argument/num_factors(43, 42)",1,1905,1
"/phylanx/access-function$0$als/10$100$11","access-function/als(100, 11)",1,680,1
"/phylanx/access-function$0$read_r/9$29$25","access-function/read_r(29, 25)",1,680,1
"/phylanx/access-variable$0$ratings/9$30$33","access-variable/ratings(30, 33)",1,6886,1
"/phylanx/access-variable$1$ratings/9$31$33","access-variable/ratings(31, 33)",1,6748,1
